DateTime,PlayersCount
2007-09-04,50156
2007-09-05,42471
2007-09-06,58934
2007-09-07,41643
2007-09-08,38668
2007-09-09,43859
2007-09-10,36797
2007-09-11,35804
2007-09-12,55975
2007-09-13,31342
2007-09-14,39468
2007-09-15,47021
2007-09-16,50892
2007-09-17,37577
2007-09-18,52728
2007-09-19,36315
2007-09-20,30763
2007-09-21,36686
2007-09-22,45274
2007-09-23,46372
2007-09-24,42118
2007-09-25,47825
2007-09-26,36828
2007-09-27,25581
2007-09-28,35464
2007-09-29,44390
2007-09-30,54300
2007-10-01,25148
2007-10-02,36605
2007-10-03,35039
2007-10-04,49268
2007-10-05,26632
2007-10-06,61561
2007-10-07,38723
2007-10-08,45175
2007-10-09,37309
2007-10-10,52221
2007-10-11,48627
2007-10-12,38979
2007-10-13,50570
2007-10-14,52853
2007-10-15,38342
2007-10-16,38275
2007-10-17,36866
2007-10-18,34511
2007-10-19,38601
2007-10-20,53042
2007-10-21,56196
2007-10-22,38051
2007-10-23,36938
2007-10-24,36676
2007-10-25,32642
2007-10-26,38040
2007-10-27,51761
2007-10-28,55286
2007-10-29,38217
2007-10-30,37517
2007-10-31,35888
2007-11-01,22485
2007-11-02,37218
2007-11-03,36598
2007-11-04,49891
2007-11-05,42586
2007-11-06,44437
2007-11-07,38834
2007-11-08,55457
2007-11-09,36815
2007-11-10,30802
2007-11-11,54454
2007-11-12,38821
2007-11-13,34835
2007-11-14,35866
2007-11-15,18333
2007-11-16,37181
2007-11-17,47001
2007-11-18,58800
2007-11-19,39162
2007-11-20,39321
2007-11-21,36525
2007-11-22,34556
2007-11-23,38870
2007-11-24,45640
2007-11-25,41504
2007-11-26,40446
2007-11-27,41524
2007-11-28,38202
2007-11-29,36114
2007-11-30,40762
2007-12-01,26594
2007-12-02,28669
2007-12-03,25779
2007-12-04,41927
2007-12-05,52721
2007-12-06,42850
2007-12-07,31511
2007-12-08,60224
2007-12-09,35662
2007-12-10,38277
2007-12-11,35283
2007-12-12,37641
2007-12-13,33921
2007-12-14,40711
2007-12-15,50068
2007-12-16,54522
2007-12-17,36753
2007-12-18,37628
2007-12-19,40328
2007-12-20,33218
2007-12-21,40174
2007-12-22,51835
2007-12-23,57400
2007-12-24,39264
2007-12-25,37312
2007-12-26,35963
2007-12-27,33720
2007-12-28,40201
2007-12-29,49154
2007-12-30,57037
2007-12-31,39179
2008-01-01,51539
2008-01-02,38739
2008-01-03,51769
2008-01-04,38034
2008-01-06,44305
2008-01-07,29518
2008-01-08,27866
2008-01-09,23862
2008-01-10,22082
2008-01-11,23364
2008-01-12,24360
2008-01-13,53971
2008-01-14,39373
2008-01-15,38454
2008-01-16,37196
2008-01-17,35014
2008-01-18,41586
2008-01-19,50378
2008-01-20,56390
2008-01-21,41503
2008-01-22,41707
2008-01-23,40147
2008-01-24,19213
2008-01-25,41992
2008-01-26,56450
2008-01-27,55768
2008-01-28,38941
2008-01-29,40548
2008-01-30,38904
2008-01-31,31737
2008-02-01,37371
2008-02-02,49220
2008-02-03,42182
2008-02-04,37194
2008-02-06,29729
2008-02-07,27656
2008-02-08,35612
2008-02-09,23291
2008-02-10,19927
2008-02-11,25593
2008-02-12,24147
2008-02-13,38688
2008-02-14,30979
2008-02-15,39467
2008-02-16,50311
2008-02-17,53624
2008-02-18,40142
2008-02-19,35722
2008-02-20,38602
2008-02-21,31141
2008-02-22,39361
2008-02-23,52632
2008-02-24,56146
2008-02-25,37280
2008-02-26,38605
2008-02-27,37384
2008-02-28,44932
2008-02-29,38949
2008-03-01,33463
2008-03-02,53622
2008-03-03,36362
2008-03-04,4113
2008-03-06,31973
2008-03-07,22814
2008-03-08,35832
2008-03-09,23854
2008-03-10,23900
2008-03-11,16285
2008-03-12,21928
2008-03-13,32458
2008-03-14,38572
2008-03-15,50221
2008-03-16,55818
2008-03-17,36697
2008-03-18,35934
2008-03-19,35943
2008-03-20,31199
2008-03-21,37833
2008-03-22,51761
2008-03-23,52378
2008-03-24,34828
2008-03-25,35145
2008-03-26,35006
2008-03-27,3826
2008-03-28,26723
2008-03-29,51965
2008-03-30,53870
2008-03-31,36683
2008-04-01,39555
2008-04-02,39101
2008-04-03,35224
2008-04-06,29186
2008-04-07,29556
2008-04-08,24211
2008-04-09,21627
2008-04-10,32327
2008-04-11,17462
2008-04-12,17648
2008-04-13,51122
2008-04-14,34249
2008-04-15,32314
2008-04-16,33497
2008-04-17,29630
2008-04-18,33799
2008-04-19,44460
2008-04-20,48885
2008-04-21,33312
2008-04-22,32520
2008-04-23,32110
2008-04-24,29805
2008-04-25,33066
2008-04-26,46462
2008-04-27,48703
2008-04-28,32706
2008-04-29,32288
2008-04-30,15397
2008-05-01,52201
2008-05-02,43235
2008-05-03,35650
2008-05-06,27331
2008-05-07,35228
2008-05-08,26355
2008-05-09,24395
2008-05-10,26744
2008-05-11,14817
2008-05-12,20258
2008-05-13,29275
2008-05-14,30469
2008-05-15,24484
2008-05-16,15173
2008-05-19,24397
2008-05-20,28967
2008-05-21,29242
2008-05-22,25642
2008-05-23,32169
2008-05-24,41815
2008-05-25,45780
2008-05-26,29824
2008-05-27,29528
2008-05-28,28631
2008-05-29,26121
2008-05-30,30548
2008-05-31,41634
2008-06-01,54868
2008-06-02,41941
2008-06-03,31599
2008-06-05,18020
2008-06-06,29902
2008-06-07,38929
2008-06-08,26559
2008-06-09,30783
2008-06-10,21009
2008-06-11,10785
2008-06-12,33622
2008-06-13,4643
2008-06-18,21948
2008-06-19,23955
2008-06-20,28468
2008-06-21,42176
2008-06-22,7543
2008-06-23,13422
2008-06-24,26250
2008-06-25,27168
2008-06-26,25300
2008-06-27,30404
2008-06-28,42772
2008-06-29,40677
2008-06-30,29792
2008-07-01,38817
2008-07-02,35069
2008-07-03,37184
2008-07-04,23574
2008-07-05,29745
2008-07-06,41149
2008-07-07,28758
2008-07-08,21148
2008-07-09,33657
2008-07-10,21982
2008-07-11,16085
2008-07-12,34880
2008-07-13,39760
2008-07-14,28016
2008-07-15,27950
2008-07-16,25167
2008-07-17,22372
2008-07-18,33686
2008-07-19,36168
2008-07-20,37308
2008-07-21,28094
2008-07-22,25896
2008-07-23,27565
2008-07-24,24312
2008-07-25,29311
2008-07-26,36401
2008-07-27,40336
2008-07-28,32272
2008-07-29,29779
